condition,prolific_id,jatos_id,gender,genderText,ageText,didYouTry,understand,comments
Immediate,60778adf13e3a5f0d0f655db,399,F,"",60,Y,Y, 
Immediate,5e6bdd2a3ea572199bb7f6b6,398,F,"",62,Y,Y, 
Immediate,645527d9c3028610267467a3,397,M,"",61,Y,Y, 
Immediate,5f119c5ad521140253f60e86,396,M,"",81,Y,Y, I was not confused.
Immediate,5484655ffdf99b07b28f22cc,395,M,"",75,Y,Y," No confusion of which I was aware!

Thanks for letting me participate and thanks for adding to our body of knowledge. :)"
Immediate,5fc50bb38378c80ac88354ef,394,F,"",65,Y,Y, I wasn't confused in the task. Thank you. 
Immediate,622a2074fe80192aa7a0212a622a2074fe80192aa7a0212a,393,F,"",60,Y,Y, 
Immediate,62d5db8e2d079e00489d8c76,392,F,"",63,Y,Y, 
Immediate,5e1fc8d45427912f6143b012,390,F,"",60,Y,Y, 
Immediate,628bb39061393e64b1907bbb,389,M,"",65,Y,Y, 
Immediate,62879b859698ba45e6afa90f,388,M,"",68,Y,Y, 
Immediate,622a0d9a4f5132ad78e5f1b6,386,F,"",75,Y,Y, I didn't know what the numbers with a slash signified
Immediate,62c08fa6cab36e3a08790b49,385,M,"",67,Y,Y, 
Immediate,5de5538f8fde1c4dbc951498,384,F,"",62,Y,Y, 
Immediate,5f77c6a1a110ce346dc016ec,383,M,"",66,Y,Y, 
Immediate,640618ed4acdff51122e13c4,382,M,"",67,Y,Y, 
Immediate,5c01dc58067bbf00019bb318,381,M,"",66,Y,Y, 
Immediate,599ec7dc617ca80001fcd124,380,M,"",61,Y,Y, i forgot to hit enter on the first animal task
Immediate,63ceb402a31914be6497e671,379,M,"",68,Y,Y, YOUR STUDY IS WELL EXPLAINED
Immediate,5dd405ab80123f3eaae9af80,378,F,"",63,Y,Y, 
Immediate,5d321a7348bf98001646aeb2,377,F,"",62,Y,Y,""
Immediate,60eb1a7c95641da67ae7d611,376,F,"",63,Y,Y, 
Immediate,63bf3247bf3b5ebd734157ee,375,F,"",63,Y,Y," I didn't immediately realize I had to press Enter  on the math tasks. I was waiting for the page to automatically advance instead.  My bad, sorry!"
Immediate,63bcbf7e0ac7e876387ef720,374,M,"",69,Y,Y, 
Immediate,62fcf3d9948e4a6a9623cce8,373,F,"",71,Y,Y, 
Immediate,5e36f211c5175f000b4038e9,372,F,"",75,Y,Y, 
Immediate,5f402eb4fbd8df145068b8055f402eb4fbd8df145068b805,371,F,"",62,Y,Y, 
Immediate,62cba72839d35cbf953cdd6f,370,F,"",62,Y,Y," I was not confused about the instructions, but don't know if I did the math problems correctly."
Immediate,645abc0f7fa6368e6df2d973,369,M,"",62,Y,Y, 
Immediate,6332517a492e9ac48804f991,368,M,"",65,Y,Y, n/a
Immediate,5be1ca6d91deed00015a986c,367,F,"",62,Y,Y, 
Immediate,6081ca47eeed1bb51c1d7f7b,366,M,"",63,Y,Y, 
Immediate,5b342c9da2982a0001dd9f25,365,M,"",60,Y,Y, 
Immediate,5ba176b4f7e29100014449e2,364,F,"",63,Y,Y, 
Immediate,58b2338a898c2e0001a5ca56,362,F,"",62,Y,Y, 
Immediate,5e2d96d3bc554937d1b3917a,361,M,"",66,Y,Y," The information was clearly presented and the questions were easy to understand. 
Also, there were no technical errors. 
Good luck with your research.
"
Immediate,606609111ba10f35596db018,360,F,"",62,Y,Y, Thank you!
Immediate,640e4ddaf9f67c6c8ea4936b,359,F,"",65,Y,Y, 
Immediate,6056962634a5230dacdb63fc,358,M,"",62,Y,Y, 
Immediate,60a2dd0e1d378ad4d982dae3,357,M,"",71,Y,Y," I was extremely confused about the math. In high school I received D in general math. I have Multiple Sclerosis, so my typing speed is impacted."
Immediate,614f297777d0d8f5e2a5b354,356,M,"",66,Y,Y, 
Immediate,63b9ff9f64549294f0abe3c1,355,F,"",69,Y,Y, 
Immediate,5bd8fabf544d4f000141d94d,354,F,"",70,Y,Y, 
Immediate,6418bb561cef445487504b0b,353,M,"",24,Y,Y, 
Immediate,5efd12bb12f04114e442283c,352,F,"",63,Y,Y, 
Immediate,63fba9e68d9ff349947fece5,351,M,"",70,Y,Y, 
Immediate,5c3630c83ce2c8000111b504,350,F,"",64,N,Y, 
Immediate,5ef11fdda0736031899eb5dc,349,F,"",62,Y,Y, 
Immediate,5ca60cd95a6f9a0015b2d034,348,M,"",70,Y,Y, 
Immediate,60fe1580147adc7ebeb315e6,346,F,"",23,Y,Y, Wasn't sure if I had already submitted something or not!
Immediate,606734f4935218ab9f94703c,345,M,"",63,Y,Y, 
